direct_requests,split_requests,dropped_requests,total_requests,percent_split,user_query_tokens,system_query_tokens,llm_response_tokens,total_llm_tokens,llm_cost,aks_cost,total_cost,max_nodes,avg_nodes
6539,25773,653,32312,80,3635795,94235100,42491607,140362502,421,2287,2708,11,8
6455,25761,597,32216,80,3589245,94391995,42514718,140495958,421,2282,2704,11,8
6476,25766,607,32242,80,3556451,94406069,42526383,140488903,421,2286,2708,11,8
6515,25981,538,32496,80,3567517,95474676,42997283,142039476,426,2289,2715,11,8
6447,26010,590,32457,80,3517642,95334784,42836146,141688572,425,2292,2717,11,8
6457,26118,710,32575,80,3564128,95307558,42846742,141718428,425,2299,2724,11,8
6593,25727,538,32320,80,3627719,94470997,42582835,140681551,422,2285,2707,11,8
6576,26032,585,32608,80,3621777,95496349,42991371,142109497,426,2289,2715,11,8
6498,26152,617,32650,80,3590118,95849713,43212241,142652072,428,2298,2725,11,8
6384,25827,573,32211,80,3492917,94786047,42677211,140956175,423,2283,2706,11,8
6632,26068,613,32700,80,3657434,95561861,43039180,142258475,427,2298,2724,11,8
6466,26138,609,32604,80,3557160,95686275,42955139,142198574,427,2297,2724,11,8
6644,26008,679,32652,80,3683875,95051477,42879531,141614883,425,2294,2719,11,8
6477,25818,579,32295,80,3564137,94730737,42640180,140935054,423,2290,2713,11,8
6369,25683,617,32052,80,3528382,94087059,42272437,139887878,420,2287,2707,11,8
6544,25917,554,32461,80,3615099,95217944,42778005,141611048,425,2288,2713,11,8
6443,26217,619,32660,80,3568193,96056429,43171829,142796451,428,2302,2731,11,8
6480,25897,552,32377,80,3570402,95209789,42873341,141653532,425,2298,2723,11,8
6389,26005,607,32394,80,3499187,95259908,42872557,141631652,425,2294,2718,11,8
6388,25640,567,32028,80,3522945,94100621,42367407,139990973,420,2282,2702,11,8
6499,25934,617,32433,80,3567735,95080257,42815675,141463667,424,2286,2711,11,8
6452,25562,498,32014,80,3553959,94098543,42323743,139976245,420,2276,2696,11,8
6561,25922,557,32483,80,3604014,95263593,42801391,141668998,425,2292,2717,11,8
6436,25868,596,32304,80,3564895,94915662,42729246,141209803,424,2289,2712,11,8
6332,25907,552,32239,80,3464816,95122619,42690709,141278144,424,2284,2708,11,8
6653,25680,581,32333,79,3654431,94195138,42411859,140261428,421,2283,2703,11,8
6509,26083,610,32592,80,3606241,95613794,43115815,142335850,427,2293,2720,11,8
6470,25774,577,32244,80,3577062,94578381,42608733,140764176,422,2284,2706,11,8
6581,25933,622,32514,80,3595341,94940443,42839898,141375682,424,2293,2717,11,8
6452,25877,567,32329,80,3528630,94912817,42680878,141122325,423,2292,2716,11,8
6503,25869,608,32372,80,3621478,94800353,42669674,141091505,423,2288,2711,11,8
6409,25830,624,32239,80,3573038,94653758,42557996,140784792,422,2287,2709,11,8
6430,25734,583,32164,80,3538768,94442285,42512710,140493763,421,2281,2702,11,8
6422,26271,637,32693,80,3534887,96261891,43473226,143270004,430,2297,2727,11,8
6348,26069,623,32417,80,3476345,95419081,42977406,141872832,426,2293,2718,11,8
6478,26149,628,32627,80,3564279,95856482,43029023,142449784,427,2295,2722,11,8
6450,25564,558,32014,80,3539659,93893088,42285142,139717889,419,2278,2697,11,8
6624,26015,621,32639,80,3651471,95360017,42793988,141805476,425,2297,2722,11,8
6560,26028,590,32588,80,3615856,95499942,42882438,141998236,426,2292,2718,11,8
6583,26038,600,32621,80,3588144,95391791,43038305,142018240,426,2293,2720,11,8
6451,26161,667,32612,80,3550201,95765754,42950227,142266182,427,2298,2725,11,8
6468,25874,587,32342,80,3550745,94831504,42631822,141014071,423,2288,2711,11,8
6369,25994,617,32363,80,3496650,95223222,42826119,141545991,425,2295,2720,11,8
6462,25596,519,32058,80,3562167,94140894,42354071,140057132,420,2282,2702,11,8
