"FilingDate","ReportDate","Issuer","InsiderName","InsiderRole","SecurityTitle","TransactionDate","TransactionCode","SharesTransacted","PricePerShare","SharesOwnedAfterTxn","OwnershipType","IndirectOwnershipNature","Footnote","XmlUrl"
"2025-04-16","2025-04-15","MICROSOFT CORP","Coleman Amy","isOfficer","Common Stock","2025-04-15","F","27.944","387.81","45995.8654","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325007602/form4.xml"
"2025-04-16","2025-04-15","MICROSOFT CORP","Coleman Amy","isOfficer","Common Stock","2025-04-15","A","10370","0","56421.0526","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325007602/form4.xml"
"2025-03-03","2025-02-28","MICROSOFT CORP","SMITH BRADFORD L","isOfficer","Common Stock","2025-02-28","F","3722.385","392.53","551999.1046","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325004149/form4.xml"
"2025-03-03","2025-02-28","MICROSOFT CORP","Numoto Takeshi","isOfficer","Common Stock","2025-02-28","F","1294.178","392.53","48057.6765","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325004147/form4.xml"
"2025-03-03","2025-02-28","MICROSOFT CORP","Jolla Alice L.","isOfficer","Common Stock","2025-02-28","F","444.056","392.53","70148.9526","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325004146/form4.xml"
"2025-03-03","2025-02-28","MICROSOFT CORP","Hood Amy","isOfficer","Common Stock","2025-02-28","F","4390.842","392.53","515352.331","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325004145/form4.xml"
"2025-03-03","2025-02-28","MICROSOFT CORP","Hogan Kathleen T","isOfficer","Common Stock","2025-02-28","F","1744.787","392.53","156328.129","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325004144/form4.xml"
"2025-03-03","2025-02-28","MICROSOFT CORP","Althoff Judson","isOfficer","Common Stock","2025-02-28","F","3283.854","392.53","114010.035","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325004143/form4.xml"
"2025-02-03","2025-01-31","MICROSOFT CORP","STANTON JOHN W","isDirector","Common Stock","2025-01-31","A","151","0","78373","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325001526/form4.xml"
"2025-02-03","2025-01-31","MICROSOFT CORP","SCHARF CHARLES W","isDirector","Common Stock","2025-01-31","A","151","0","44360","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325001525/form4.xml"
"2025-02-03","2025-01-31","MICROSOFT CORP","Mason Mark","isDirector","Common Stock","2025-01-31","A","151","0","1143","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325001521/form4.xml"
"2025-02-03","2025-01-31","MICROSOFT CORP","List Teri","isDirector","Common Stock","2025-01-31","A","151","0","151","D",,,"https://www.sec.gov/Archives/edgar/data/789019/000106299325001519/form4.xml"
