"Name","CombinedTempDiskAndCachedWriteBytesPerSecond","HyperVGenerations","MemoryGBFlattened","EncryptionAtHostSupported","PremiumIO","Tier","CpuArchitectureType","Size","MaxResourceVolumeMB","MaxDataDiskCount","CombinedTempDiskAndCachedReadBytesPerSecond","CombinedTempDiskAndCachedIOPS","RdmaEnabled","cpuToRamRatio","vCPUsPerCore","ACUs","MaxNetworkInterfaces","vCPUsAvailable","MemoryPreservingMaintenanceSupported","retailPrice","retailPriceFlattened","vCPUs","EphemeralOSDiskSupported","MemoryGB","CapacityReservationSupported","LowPriorityCapable","AcceleratedNetworkingEnabled","VMDeploymentTypes","OSVhdSizeMB"
"Standard_A1_v2","10485760","V1","200","False","False","Standard","x64","A1_v2","10240","2","20971520","1000","False","2","1","100","2","1","True","0.065","650","1","False","2","True","True","False","IaaS,PaaS","1047552"
"Standard_A2m_v2","20971520","V1","1600","False","False","Standard","x64","A2m_v2","20480","4","41943040","2000","False","8","1","100","2","2","True","0.18","1800","2","False","16","True","True","False","IaaS,PaaS","1047552"
"Standard_A2_v2","20971520","V1","400","False","False","Standard","x64","A2_v2","20480","4","41943040","2000","False","2","1","100","2","2","True","0.136","1360","2","False","4","True","True","False","IaaS,PaaS","1047552"
"Standard_A4m_v2","41943040","V1","3200","False","False","Standard","x64","A4m_v2","40960","8","83886080","4000","False","8","1","100","4","4","True","0.378","3780","4","False","32","True","True","False","IaaS,PaaS","1047552"
"Standard_A4_v2","41943040","V1","800","False","False","Standard","x64","A4_v2","40960","8","83886080","4000","False","2","1","100","4","4","True","0.286","2859.9999999999995","4","False","8","True","True","False","IaaS,PaaS","1047552"
"Standard_A8m_v2","83886080","V1","6400","False","False","Standard","x64","A8m_v2","81920","16","167772160","8000","False","8","1","100","8","8","True","0.794","7940","8","False","64","True","True","False","IaaS,PaaS","1047552"
"Standard_A8_v2","83886080","V1","1600","False","False","Standard","x64","A8_v2","81920","16","167772160","8000","False","2","1","100","8","8","True","0.6","6000","8","False","16","True","True","False","IaaS,PaaS","1047552"
"Standard_D1","24117248","V1","350","False","False","Standard","x64","D1","51200","4","48234496","3000","False","4","1","160","2","1","True","0.13","1300","1","False","3.5","False","True","False","IaaS,PaaS","1047552"
"Standard_D11","48234496","V1","1400","False","False","Standard","x64","D11","102400","8","97517568","6000","False","7","1","160","2","2","True","0.243","2430","2","False","14","False","True","False","IaaS,PaaS","1047552"
"Standard_D11_v2","48234496","V1","1400","False","False","Standard","x64","D11_v2","102400","8","97517568","6000","False","7","1","210","2","2","True","0.243","2430","2","False","14","True","True","True","IaaS,PaaS","1047552"
